"Date","Price","Open","High","Low","Vol.","Change %"
"08/22/2021","0.000725","0.000718","0.000725","0.000695","259.06M","0.97%"
"08/21/2021","0.000718","0.000735","0.000755","0.000718","351.55M","-2.36%"
"08/20/2021","0.000735","0.000698","0.000746","0.000693","415.25M","5.33%"
"08/19/2021","0.000698","0.000674","0.000745","0.000665","730.86M","3.61%"
"08/18/2021","0.000674","0.000683","0.000700","0.000664","425.54M","-1.32%"
"08/17/2021","0.000683","0.000710","0.000746","0.000682","488.61M","-3.87%"
"08/16/2021","0.000710","0.000733","0.000777","0.000707","668.71M","-3.12%"
"08/15/2021","0.000733","0.000749","0.000759","0.000705","557.21M","-2.16%"
"08/14/2021","0.000749","0.000835","0.000850","0.000731","1.00B","-10.26%"
"08/13/2021","0.000835","0.000706","0.000937","0.000698","2.67B","18.25%"
"08/12/2021","0.000706","0.000761","0.000810","0.000687","754.34M","-7.21%"
"08/11/2021","0.000761","0.000719","0.000819","0.000696","1.36B","5.90%"
"08/10/2021","0.000719","0.000732","0.000789","0.000676","1.10B","-1.86%"
"08/09/2021","0.000732","0.000687","0.000779","0.000680","1.32B","5.72%"
"08/08/2021","0.000693","0.000752","0.000763","0.000679","1.04B","-7.25%"
"08/07/2021","0.000747","0.000679","0.000800","0.000649","1.87B","10.01%"
"08/06/2021","0.000679","0.000723","0.000838","0.000679","4.37B","-6.17%"
"08/05/2021","0.000723","0.000656","0.000827","0.000571","6.07B","11.93%"
"08/04/2021","0.000646","0.000500","0.000700","0.000476","4.57B","29.20%"
"08/03/2021","0.000500","0.000483","0.000527","0.000438","1.35B","3.62%"
"08/02/2021","0.000483","0.000478","0.000500","0.000465","421.36M","0.00%"
"08/01/2021","0.000482","0.000483","0.000506","0.000472","810.22M","-0.18%"
"07/31/2021","0.000483","0.000493","0.000495","0.000465","616.84M","-1.95%"
"07/30/2021","0.000493","0.000465","0.000499","0.000448","978.12M","6.04%"
"07/29/2021","0.000465","0.000444","0.000472","0.000440","607.34M","4.59%"
"07/28/2021","0.000444","0.000455","0.000460","0.000432","405.21M","-2.35%"
"07/27/2021","0.000455","0.000437","0.000458","0.000430","321.73M","4.18%"
"07/26/2021","0.000437","0.000454","0.000491","0.000435","685.45M","-3.76%"
"07/25/2021","0.000454","0.000455","0.000459","0.000433","562.64M","4.58%"
"07/24/2021","0.000434","0.000429","0.000443","0.000429","260.55M","1.09%"
"07/23/2021","0.000429","0.000426","0.000444","0.000404","282.99M","0.82%"
"07/22/2021","0.000426","0.000425","0.000433","0.000416","214.46M","0.22%"
"07/21/2021","0.000425","0.000397","0.000456","0.000393","733.26M","7.53%"
"07/20/2021","0.000395","0.000413","0.000449","0.000385","5.03B","-4.28%"
"07/19/2021","0.000413","0.000444","0.000447","0.000400","327.70M","-6.97%"
"07/18/2021","0.000444","0.000435","0.000451","0.000430","245.28M","2.03%"
"07/17/2021","0.000435","0.000429","0.000445","0.000420","273.00M","1.43%"
"07/16/2021","0.000429","0.000442","0.000458","0.000415","243.88M","-2.86%"
"07/15/2021","0.000442","0.000462","0.000479","0.000425","402.98M","-4.52%"
"07/14/2021","0.000462","0.000467","0.000470","0.000439","428.34M","-1.06%"
"07/13/2021","0.000467","0.000485","0.000489","0.000460","423.71M","-4.30%"
"07/12/2021","0.000488","0.000503","0.000518","0.000474","440.59M","-2.83%"
"07/11/2021","0.000503","0.000489","0.000513","0.000480","498.27M","2.81%"
"07/10/2021","0.000489","0.000483","0.000500","0.000481","221.11M","1.63%"
"07/09/2021","0.000481","0.000488","0.000512","0.000467","446.91M","-1.35%"
"07/08/2021","0.000488","0.000527","0.000529","0.000479","610.98M","-7.54%"
"07/07/2021","0.000527","0.000523","0.000546","0.000523","657.63M","0.50%"
"07/06/2021","0.000525","0.000513","0.000529","0.000511","900.31M","2.45%"
"07/05/2021","0.000512","0.000541","0.000541","0.000508","1.15B","-5.24%"
"07/04/2021","0.000541","0.000567","0.000570","0.000538","10.92B","1.79%"
"07/03/2021","0.000531","0.000477","0.000531","0.000472","600.47M","11.26%"
"07/02/2021","0.000477","0.000456","0.000479","0.000453","508.35M","4.57%"
"07/01/2021","0.000456","0.000490","0.000490","0.000452","703.58M","-6.83%"
"06/30/2021","0.000490","0.000499","0.000499","0.000465","1.01B","-1.18%"
"06/29/2021","0.000496","0.000488","0.000511","0.000488","2.01B","1.58%"
"06/28/2021","0.000488","0.000463","0.000513","0.000463","8.51B","5.50%"
"06/27/2021","0.000463","0.000443","0.000470","0.000443","698.40M","4.36%"
