"Date","Price","Open","High","Low","Change.."
2021-11-08,"18,320.65","18,280.75","18,339.65","18,079.45","0.91%"
2021-11-09,"18,309.05","18,338.35","18,364.60","18,240.80","-0.06%"
2021-11-10,"18,291.75","18,238.00","18,335.20","18,191.60","-0.09%"
2021-11-11,"18,156.80","18,248.50","18,252.60","18,085.50","-0.74%"
2021-11-12,"18,389.50","18,266.75","18,407.45","18,197.90","1.28%"
2021-11-15,"18,401.65","18,438.25","18,498.70","18,364.40","0.07%"
2021-11-16,"18,301.45","18,420.25","18,425.80","18,260.85","-0.54%"
2021-11-17,"18,211.35","18,244.05","18,338.35","18,189.45","-0.49%"
2021-11-18,"18,059.50","18,208.60","18,260.60","17,979.30","-0.83%"
2021-11-22,"17,708.55","18,096.90","18,103.50","17,561.60","-1.94%"
2021-11-23,"17,823.50","17,581.55","17,865.70","17,518.95","0.65%"
2021-11-24,"17,733.00","17,870.50","17,917.10","17,673.10","-0.51%"
2021-11-25,"17,861.65","17,739.55","17,884.95","17,657.65","0.73%"
2021-11-26,"17,340.50","17,665.10","17,683.50","17,297.15","-2.92%"
2021-11-29,"17,339.15","17,351.65","17,448.75","17,060.70","-0.01%"
2021-11-30,"17,270.25","17,333.75","17,611.40","17,216.60","-0.40%"
2021-12-01,"17,444.45","17,381.40","17,482.65","17,338.60","1.01%"
2021-12-02,"17,675.00","17,465.90","17,694.30","17,434.70","1.32%"
2021-12-03,"17,493.70","17,701.25","17,764.15","17,477.75","-1.03%"
2021-12-06,"17,197.50","17,511.30","17,517.90","17,175.55","-1.69%"
2021-12-07,"17,464.95","17,332.25","17,535.40","17,275.95","1.56%"
2021-12-08,"17,751.90","17,595.55","17,766.10","17,589.80","1.64%"
2021-12-09,"17,797.80","17,805.80","17,824.20","17,667.10","0.26%"
2021-12-10,"17,802.60","17,760.45","17,821.15","17,699.05","0.03%"
2021-12-13,"17,664.85","17,918.85","17,941.35","17,653.60","-0.77%"
2021-12-14,"17,637.70","17,586.70","17,677.40","17,528.05","-0.15%"
2021-12-15,"17,526.35","17,637.45","17,662.95","17,505.80","-0.63%"
2021-12-16,"17,539.30","17,674.35","17,680.80","17,480.15","0.07%"
2021-12-17,"17,249.00","17,559.85","17,578.75","17,231.70","-1.66%"
2021-12-20,"16,856.20","17,084.60","17,097.00","16,653.60","-2.28%"
2021-12-21,"17,037.75","17,011.85","17,192.95","16,950.20","1.08%"
2021-12-22,"17,232.80","17,135.65","17,248.45","17,096.60","1.14%"
2021-12-23,"17,360.65","17,346.70","17,398.35","17,303.05","0.74%"
2021-12-24,"17,273.65","17,434.25","17,441.55","17,192.70","-0.50%"
2021-12-27,"17,351.80","17,214.15","17,374.80","17,103.95","0.45%"
2021-12-28,"17,501.75","17,444.55","17,517.85","17,428.10","0.86%"
2021-12-29,"17,478.80","17,491.05","17,552.70","17,444.60","-0.13%"
2021-12-30,"17,449.30","17,465.25","17,516.05","17,413.20","-0.17%"
2021-12-31,"17,618.80","17,488.45","17,659.55","17,485.95","0.97%"
2022-01-03,"17,874.00","17,654.45","17,894.15","17,651.45","1.45%"
2022-01-04,"18,030.95","17,934.50","18,051.50","17,831.50","0.88%"
2022-01-05,"18,147.50","18,044.30","18,164.70","17,974.90","0.65%"
2022-01-06,"17,985.60","17,997.60","18,025.25","17,889.75","-0.89%"
2022-01-07,"18,053.95","18,035.70","18,140.85","17,944.40","0.38%"
2022-01-10,"18,229.10","18,146.20","18,243.25","18,109.75","0.97%"
2022-01-11,"18,275.15","18,225.70","18,295.00","18,181.40","0.25%"
2022-01-12,"18,430.25","18,390.85","18,443.80","18,346.95","0.85%"
2022-01-13,"18,482.45","18,478.55","18,495.65","18,385.00","0.28%"
2022-01-14,"18,485.70","18,411.20","18,515.10","18,348.40","0.02%"
2022-01-17,"18,543.20","18,471.60","18,553.40","18,456.55","0.31%"
2022-01-18,"18,331.70","18,577.70","18,595.15","18,302.95","-1.14%"
2022-01-19,"18,179.70","18,349.55","18,349.55","18,114.85","-0.83%"
2022-01-20,"18,021.10","18,168.25","18,187.60","17,915.75","-0.87%"
2022-01-21,"17,856.15","17,882.35","17,953.60","17,721.30","-0.92%"
2022-01-24,"17,353.45","17,821.55","17,841.40","17,197.00","-2.82%"
2022-01-25,"17,489.15","17,200.40","17,519.60","17,030.45","0.78%"
2022-01-27,"17,302.35","17,281.70","17,376.85","17,069.75","-1.07%"
2022-01-28,"17,314.70","17,405.55","17,587.60","17,289.20","0.07%"
2022-01-31,"17,547.40","17,516.90","17,623.25","17,479.65","1.34%"
2022-02-01,"17,796.25","17,731.55","17,826.15","17,464.25","1.42%"
2022-02-02,"17,998.75","17,920.05","18,012.25","17,889.15","1.14%"
2022-02-03,"17,794.70","17,985.10","17,996.30","17,749.40","-1.13%"
2022-02-04,"17,755.30","17,826.25","17,858.20","17,701.20","-0.22%"
2022-02-07,"17,477.65","17,710.05","17,791.70","17,382.80","-1.56%"
2022-02-08,"17,509.80","17,543.20","17,572.70","17,298.35","0.18%"
2022-02-09,"17,707.85","17,612.55","17,720.90","17,583.00","1.13%"
2022-02-10,"17,842.90","17,794.00","17,869.10","17,665.70","0.76%"
2022-02-11,"17,606.60","17,694.40","17,696.95","17,541.65","-1.32%"
2022-02-14,"17,060.70","17,293.10","17,318.45","17,026.40","-3.10%"
2022-02-15,"17,560.55","17,147.90","17,582.90","17,037.60","2.93%"
2022-02-16,"17,530.65","17,626.25","17,706.10","17,481.65","-0.17%"
2022-02-17,"17,524.45","17,608.45","17,657.10","17,457.20","-0.04%"
2022-02-18,"17,472.90","17,456.70","17,586.35","17,439.05","-0.29%"
2022-02-21,"17,379.10","17,389.55","17,532.40","17,251.85","-0.54%"
2022-02-22,"17,276.50","17,012.75","17,321.15","17,009.30","-0.59%"
2022-02-23,"17,273.45","17,378.95","17,413.30","17,240.00","-0.02%"
2022-02-24,"16,428.05","16,742.80","16,897.85","16,384.45","-4.89%"
2022-02-25,"16,872.35","16,703.00","16,955.50","16,676.60","2.70%"
2022-02-28,"17,016.55","16,701.70","17,035.15","16,568.45","0.85%"
2022-03-02,"16,855.70","16,826.25","16,930.20","16,732.05","-0.95%"
2022-03-03,"16,761.60","16,991.00","17,032.95","16,708.10","-0.56%"
2022-03-04,"16,482.85","16,610.75","16,700.55","16,384.25","-1.66%"
2022-03-07,"16,086.95","16,116.10","16,180.60","15,938.75","-2.40%"
2022-03-08,"16,251.65","15,991.45","16,267.05","15,901.10","1.02%"
2022-03-09,"16,571.55","16,328.40","16,648.10","16,245.75","1.97%"
2022-03-10,"16,835.50","16,979.85","16,979.85","16,689.80","1.59%"
